Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	gamma	A.1	A.2	A.3	A.4	Theta.1	Theta.2	Theta.3	Theta.4	psi.height	psi.treeLength	D.treeLikelihood
720000	-6649.755485290772	-6173.864917681245	-475.8905676095269	0.18079184010120358	0.30574487874376854	0.26110668619487876	0.25235659496015	0.05018482612922158	0.3577255245277009	0.06662277282765262	0.018391115047135524	0.45543586788292906	0.05163989358536056	0.3711638289620201	2	9	27	24	11705.814695047744	7331.828639935953	347.5437128145895	221.50729526454631	421.52212030747836	5497.067570378372	-6173.864917681245
740000	-6642.636394729512	-6177.814040121499	-464.8223546080135	0.19104643111360464	0.30783832826877816	0.2431714538100707	0.25794378680754754	0.04995962305103797	0.38795496478036867	0.06375732690134665	0.030581268891081655	0.4321276541877997	0.03561916218836553	0.36503160909629767	2	10	2	48	5462.235772971551	8949.943166993857	1645.1847386737177	195.67056330605504	400.6196983355111	5556.037597287184	-6177.814040121499
760000	-6634.581723482044	-6165.854311120385	-468.7274123616585	0.18636502621785675	0.31962685179896805	0.22242483494801354	0.2715832870351627	0.05027467028766051	0.37650862879643826	0.06530792378687889	0.03732474231857919	0.4340690572891647	0.03651497752127879	0.30562904124573553	10	3	11	38	10196.475976300464	3638.1058177927225	392.23836245938736	305.1896578689065	397.95955801956995	5565.8277134322	-6165.854311120385
780000	-6642.005583755758	-6170.779072102889	-471.22651165286953	0.19148492769753564	0.32996572677778185	0.21477255291366049	0.26377679261102316	0.044935797519550943	0.37152650567136714	0.06061687001499495	0.02367010986455524	0.4344016802884478	0.06484903664108434	0.34623262052533543	2	13	2	45	4924.57624846129	5250.535954937465	554.8559373423776	184.7224255272316	386.06004259272834	4929.241485038855	-6170.779072102889
800000	-6631.8389520443625	-6170.480567204149	-461.3583848402132	0.2191932788627861	0.2922859331278109	0.20514183324197324	0.2833789547674309	0.0499482863506781	0.35188384136917966	0.06119447458861109	0.029642780325980455	0.46125223179626534	0.04607838556928584	0.41421421945541514	11	2	4	45	7169.751178140203	2316.744160305113	358.77485773738346	193.57886969297158	385.9042992325993	5434.316075850167	-6170.480567204149
820000	-6635.953873469518	-6159.8643545593295	-476.0895189101888	0.19531051934751442	0.35453680673064847	0.20927177388327053	0.24088090003856766	0.04500295268471242	0.3909218079738414	0.06211238965504233	0.02918302366241233	0.42277347743499666	0.05000634858899538	0.40055502260452625	9	4	8	41	9705.247812539188	4872.066692714607	462.3130480406687	226.65247094298851	471.5021695613241	5502.328742358848	-6159.8643545593295
840000	-6628.027893378131	-6155.393096016956	-472.634797361175	0.1943793250956627	0.3405890408360625	0.2263354655769132	0.2386961684913626	0.05038979601664978	0.3901365408792369	0.05856261747931711	0.023726920329127592	0.4281729771111463	0.0490111481845227	0.3425940847915769	8	5	10	39	8344.614466284112	1525.1602320809163	807.902547310083	277.14752349619596	395.803550093824	5160.610896916048	-6155.393096016956
860000	-6632.738737387028	-6157.543167563751	-475.19556982327697	0.19010522919060235	0.3187911130142279	0.21741301208945857	0.27369064570571205	0.05309610378755989	0.39827338396988643	0.04489391489939162	0.023283747509480264	0.43810418087578784	0.04234866895789437	0.36577278449590866	8	8	11	35	6354.7449128751805	1844.1808666842896	737.7316504678492	260.29264310477106	429.472982021225	5624.923381014513	-6157.543167563751
880000	-6607.466651063452	-6143.473066886463	-463.99358417698966	0.19843202719279643	0.3170845233191532	0.24891816107801673	0.23556528841003452	0.046821681265397305	0.33232330416950306	0.07082721344053053	0.02890604868646375	0.4847529813876567	0.03636877105044899	0.35464551246409676	10	3	5	44	8993.203190226948	1820.8169776218376	746.3267221900987	175.70806662425886	370.6294957455288	5185.868052790917	-6143.473066886463
900000	-6621.249754162364	-6147.990387579358	-473.2593665830062	0.19792161971739677	0.3487076318921963	0.20938006466571107	0.24399068372469684	0.04712965344528958	0.3718354347922981	0.06336405497898193	0.03729485113469921	0.42988920412408166	0.05048680152464993	0.3445716159626137	10	1	26	25	4385.5976260169355	6493.456660478838	355.4227807296474	284.9963759222061	380.2763635724683	5158.492866609635	-6147.990387579358
