Sample	posterior	likelihood	prior	pi.0.A	pi.0.C	pi.0.G	pi.0.T	pi.1.A	pi.1.C	pi.1.G	pi.1.T	pi.2.A	pi.2.C	pi.2.G	pi.2.T	kappa.0	kappa.1	kappa.2	mu.0	mu.1	mu.2	clockRate	Theta	psi.height	codon.0.treeLikelihood	codon.1.treeLikelihood	codon.2.treeLikelihood
225000	-6075.992038562975	-5480.804118585483	-595.1879199774921	0.5216101925261679	0.2251653131026355	0.08723498342476721	0.16598951094642886	0.29615152236507447	0.44644124272716673	0.07683272130191018	0.18057451360584886	0.34035942017212867	0.39734188319832503	0.05704583517331376	0.20525286145623264	10.316664075760238	4.1499319787642985	3.701657659995392	0.6055779524383382	0.9883669296103413	1.4041769177248375	0.0021587529169816576	36.62881159280031	54.96327865256143	-1435.5554275879124	-1778.9015250489094	-2266.3471659486613
232500	-6070.273739505849	-5470.584585515227	-599.6891539906217	0.45889799713151413	0.2589438868288973	0.08381117606742491	0.19834693997216313	0.27849705210163017	0.46470063742940015	0.08681826440564695	0.16998404606332299	0.30102635132034955	0.3910488679863628	0.07991836052108019	0.22800642017220757	10.28512822852505	2.156512646312191	2.4849925740687517	0.6642433611249823	0.9557057301512236	1.3784520675862957	0.0022555515313319187	44.219966342298484	57.27246960115035	-1436.0215039080358	-1782.6275616208661	-2251.9355199863257
240000	-6089.789846939793	-5486.203290634074	-603.5865563057197	0.47442226949498506	0.23874941928205248	0.0813915918667279	0.2054367193562341	0.2976872956479294	0.42635982475665407	0.08330832953884516	0.19264455005657166	0.3099428395381242	0.38817279529980303	0.0713934405761851	0.23049092458588782	9.07476185730821	2.6240904366886415	7.282134176609917	0.7084797788883794	0.9804420408296978	1.3096899887528215	0.0022493625124261484	40.20530287910474	58.25263028108628	-1442.9404751941481	-1786.88701653976	-2256.3757989001656
247500	-6084.526486680513	-5473.073952637093	-611.4525340434201	0.4825864410438447	0.2256270975788215	0.0995468074964153	0.1922396538809182	0.293329443355625	0.41592605709243086	0.09777825259481142	0.19296624695713302	0.32287353720768386	0.3465047590082271	0.08430997136159551	0.24631173242249363	9.275185017120064	2.8878115321120994	5.05478278861126	0.6016587775523754	0.9327045433534333	1.4637398161301565	0.0020854038060826073	43.59158001065414	57.01258752620021	-1436.6825349707474	-1776.3625723628238	-2260.0288453035214
255000	-6085.883563808577	-5485.528895082034	-600.3546687265423	0.5210415092645674	0.20677710758755846	0.09282480051191958	0.17935658263595428	0.29886762913003145	0.41400221837985235	0.10474434133280003	0.18238581115731653	0.32553649683506747	0.383571057928225	0.0789300146375342	0.21196243059917347	9.83283061864983	1.9982827664274625	4.450429795577736	0.6306391192780434	0.9878144397634255	1.3797875796217611	0.002338018582503452	37.50006744172885	55.48048548159688	-1444.014058726917	-1774.9694913342528	-2266.5453450208643
262500	-6084.59920204598	-5479.427090941508	-605.172111104472	0.4952212408961426	0.2532453529379033	0.10205195926414262	0.1494814469018112	0.30902993665177175	0.43848102678035644	0.07192626123476109	0.18056277533311108	0.359414469180246	0.36663157030968646	0.06512381018005278	0.20883015033001487	9.480307226020152	1.8493407003228841	1.399063738886537	0.6915236147364289	0.9543370463738116	1.352670403721839	0.0020396507951780237	39.875318056394086	57.17325357470744	-1440.7390621762631	-1786.5995090433087	-2252.0885197219363
270000	-6101.212597792382	-5489.430877763334	-611.7817200290486	0.499650761810418	0.26561954759508605	0.0748124537387384	0.15991723685575715	0.3050795803820348	0.4025348253698632	0.07986127942222766	0.21252431482587464	0.32102322214634216	0.3775029290835694	0.07736163432600136	0.22411221444408724	9.112416667838467	2.86333507529359	2.258812234739376	0.6493039094086462	0.9996854554643985	1.3493406537431882	0.0020422445334973287	46.590497134550944	58.84112615345246	-1439.4606002137336	-1787.6120463071136	-2262.3582312424865
277500	-6071.598910020455	-5482.982897758606	-588.6160122618496	0.47999025745675644	0.2506785106816704	0.09150987584470076	0.177821356016872	0.2844353486003641	0.4319269947375199	0.08696574475815128	0.196671911903965	0.31884795759678347	0.3697474285817475	0.08436419071710348	0.22704042310436584	10.371799138428623	6.839182363190576	4.025329495755111	0.6708472898791197	0.9171627926379298	1.410422523625233	0.0022878145719977218	36.97859787266675	56.54646789937876	-1434.4452438447724	-1787.0842298874722	-2261.453424026361
285000	-6053.473384839245	-5469.808393589616	-583.6649912496297	0.485580526417988	0.23725190542174374	0.10510508504172932	0.17206248311853847	0.2858681936825023	0.4431737209494302	0.08615296640121226	0.18480511896685556	0.3277120141926125	0.363516158682874	0.0849801515747913	0.2237916755497225	10.029254619587103	6.991770961527889	4.002569804319993	0.6786193246259505	0.9811876369317766	1.338662654273826	0.0024754489294199506	32.08131556654796	57.542522985499595	-1434.3149548867245	-1778.8554524190326	-2256.637986283858
292500	-6052.214844822137	-5475.981697443347	-576.2331473787896	0.4987528610924294	0.21799610873816397	0.09492257289193197	0.18832845727747416	0.3007671625014332	0.3913389603686381	0.1346917727434974	0.1732021043864317	0.3405119740786128	0.3827423041775319	0.07340050132271796	0.20334522042113773	9.461909057883547	4.2193985934375675	2.949129534090237	0.6315400863222371	0.8951897606224746	1.471515582037776	0.002323468769111794	31.382525511947883	55.62974664066572	-1435.8882529066727	-1784.8053929779019	-2255.2880515587726
300000	-6070.496333876984	-5491.222271887172	-579.2740619898123	0.5001738642666503	0.24825182168891566	0.10402189647351148	0.14755241757092213	0.26962509950647984	0.42896920724107696	0.10790706355310394	0.19349862969933956	0.34963610097742975	0.35917723661818257	0.07340050132271796	0.21778616108167007	9.947042390093499	2.4570098813220564	4.3122235124217445	0.5942785671541984	0.9082552676332196	1.4955341583895077	0.0022954121681335684	32.80344232881591	52.7329578655641	-1438.1800516569904	-1784.388943373949	-2268.6532768562324
307500	-6062.831036427752	-5490.883558769038	-571.9474776587143	0.47863820443594957	0.23272444748976903	0.09929357563391505	0.18934377244036593	0.32254455583141406	0.39548002827151796	0.08459706930259442	0.19737834659447387	0.352210590136136	0.35187500053312215	0.06876617247470174	0.2271482368560405	8.900408618147164	2.3437712761583365	2.466041902184167	0.6257180807940302	0.9787100839776314	1.3937895403749778	0.0025519154101488494	29.531452790851823	51.064296961719805	-1446.578881142276	-1791.896146833278	-2252.4085307934843
